customer_id,customer_age,annual_income,days_since_signup,customer_segment,product_category,purchase_amount
1,56.0,87417.85,87.0,Gold,Home,132.97
2,51.0,71543.39,353.0,Silver,Sports,115.41
3,69.0,91192.21,623.0,Gold,Sports,120.14
4,79.0,113075.75,688.0,Gold,Electronics,169.66
5,,69146.17,247.0,Silver,Clothing,42.35
6,28.0,69146.58,601.0,Silver,Home,97.66
7,72.0,114480.32,317.0,Gold,Home,100.71
8,62.0,94185.87,543.0,Gold,Home,134.41
9,46.0,63263.14,545.0,Silver,Home,68.71
10,80.0,88564.0,,Gold,Sports,84.4
11,47.0,63414.56,727.0,Silver,Sports,89.82
12,56.0,63356.76,218.0,Silver,Clothing,66.55
13,62.0,81049.06,126.0,Gold,Home,86.43
14,32.0,30000.0,819.0,Bronze,Home,70.78
15,18.0,31877.05,468.0,Bronze,Electronics,24.95
16,49.0,60942.81,297.0,Silver,Sports,84.3
17,20.0,49679.22,844.0,Bronze,Home,77.41
18,45.0,82856.18,536.0,Gold,Clothing,60.31
19,26.0,52299.4,760.0,Silver,Clothing,53.72
20,28.0,39692.41,438.0,Bronze,Sports,20.0
21,80.0,111641.22,1293.0,Gold,Clothing,121.5
22,18.0,69355.59,891.0,Silver,Clothing,52.71
23,56.0,76688.21,481.0,Silver,Sports,67.14
24,18.0,39381.3,656.0,Bronze,Home,78.73
25,31.0,61390.43,624.0,Silver,Home,52.54
26,62.0,77773.06,999.0,Silver,Clothing,23.08
27,31.0,46225.16,143.0,Bronze,Clothing,620.6787348966108
28,33.0,84392.45,648.0,Gold,Home,119.45
29,26.0,59984.03,726.0,Silver,Sports,26.37
30,51.0,67707.66,62.0,Silver,Clothing,689.880470789072
31,26.0,59957.33,52.0,Silver,Electronics,45.47
32,71.0,121306.95,162.0,Gold,Sports,181.91
33,45.0,74662.57,421.0,Silver,Clothing,69.05
34,22.0,48557.23,600.0,Bronze,Clothing,37.89
35,80.0,95563.62,1125.0,Gold,Electronics,155.67
36,39.0,44478.91,493.0,Bronze,Electronics,92.04
37,20.0,80221.59,866.0,Gold,Home,95.14
38,25.0,30000.0,30.0,Bronze,Sports,65.5
39,18.0,41795.35,30.0,Bronze,Sports,48.57
40,60.0,79921.53,559.0,Silver,Home,100.41
41,42.0,93461.66,601.0,Gold,Sports,90.03
42,45.0,79284.21,,Silver,Sports,83.92
43,,72108.79,60.0,Silver,Sports,87.11
