COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,date
Australia,JAN2010,January 2010,2010,1,January,Hydro,990.728,1,16471.891,,0.0477707293526417,2010-01-01
Australia,JAN2010,January 2010,2010,1,January,Wind,409.469,2,4940.909,,0.0197436963296655,2010-01-01
Australia,JAN2010,January 2010,2010,1,January,Solar,49.216,3,908.238,,0.0023730874829616,2010-01-01
Australia,JAN2010,January 2010,2010,1,January,Geothermal,0.083,4,0.996,,4.002077801646127e-06,2010-01-01
Austria,JAN2010,January 2010,2010,1,January,Hydro,2579.264,1,39502.566,,0.4370547928260537,2010-01-01
Austria,JAN2010,January 2010,2010,1,January,Wind,200.966,2,1961.814,,0.0340535724513197,2010-01-01
Austria,JAN2010,January 2010,2010,1,January,Solar,2.864,3,84.421,,0.0004853031433206,2010-01-01
Austria,JAN2010,January 2010,2010,1,January,Geothermal,0.111,4,1.332,,1.880888579210657e-05,2010-01-01
Belgium,JAN2010,January 2010,2010,1,January,Hydro,147.41,1,1645.999,,0.0176735511308866,2010-01-01
Belgium,JAN2010,January 2010,2010,1,January,Wind,75.909,2,1286.0,,0.009101021591442,2010-01-01
Belgium,JAN2010,January 2010,2010,1,January,Solar,17.45,3,560.0,,0.002092147528892,2010-01-01
Canada,JAN2010,January 2010,2010,1,January,Hydro,37885.199,1,347981.0,,0.6279492971024266,2010-01-01
Canada,JAN2010,January 2010,2010,1,January,Wind,631.406,2,8637.002,,0.0104655898438399,2010-01-01
Canada,JAN2010,January 2010,2010,1,January,Solar,1.898,3,253.0,,3.145945639352206e-05,2010-01-01
Canada,JAN2010,January 2010,2010,1,January,Other renewables,1.716,5,28.0,,2.844279619140351e-05,2010-01-01
Chile,JAN2010,January 2010,2010,1,January,Hydro,2277.808,1,21641.001,,0.4764879003081534,2010-01-01
Chile,JAN2010,January 2010,2010,1,January,Wind,21.126,2,332.001,,0.0044192852873947,2010-01-01
Czech Republic,JAN2010,January 2010,2010,1,January,Hydro,273.1,1,3366.0,,0.0351576112752557,2010-01-01
Czech Republic,JAN2010,January 2010,2010,1,January,Wind,12.333,2,334.999,,0.0015876924930711,2010-01-01
Czech Republic,JAN2010,January 2010,2010,1,January,Solar,6.205,3,612.002,,0.0007988025557047,2010-01-01
Denmark,JAN2010,January 2010,2010,1,January,Hydro,2.1,1,21.0,,0.0005181454537917,2010-01-01
Denmark,JAN2010,January 2010,2010,1,January,Wind,761.902,2,7808.998,,0.1879885988261291,2010-01-01
Denmark,JAN2010,January 2010,2010,1,January,Solar,0.134,3,6.0,,3.3062614670523643e-05,2010-01-01
Estonia,JAN2010,January 2010,2010,1,January,Hydro,2.206,1,27.0,,0.0019463028627238,2010-01-01
Estonia,JAN2010,January 2010,2010,1,January,Wind,15.875,2,277.002,,0.0140061459409527,2010-01-01
Finland,JAN2010,January 2010,2010,1,January,Hydro,1102.097,1,12743.0,,0.1327580428994792,2010-01-01
Finland,JAN2010,January 2010,2010,1,January,Wind,24.082,2,293.998,,0.0029009054458049,2010-01-01
Finland,JAN2010,January 2010,2010,1,January,Solar,0.114,3,4.74,,1.3732381896095015e-05,2010-01-01
France,JAN2010,January 2010,2010,1,January,Hydro,6210.412,1,66698.555,,0.1112762943804164,2010-01-01
France,JAN2010,January 2010,2010,1,January,Wind,705.829,2,9945.0,,0.0126468317377711,2010-01-01
France,JAN2010,January 2010,2010,1,January,Solar,13.832,3,620.001,,0.0002478376159053,2010-01-01
France,JAN2010,January 2010,2010,1,January,Other renewables,39.167,5,470.004,,0.000701782526183,2010-01-01
Germany,JAN2010,January 2010,2010,1,January,Hydro,2078.53,1,26969.001,,0.0370742074902766,2010-01-01
Germany,JAN2010,January 2010,2010,1,January,Wind,2906.482,2,37793.002,,0.051842175352174,2010-01-01
Germany,JAN2010,January 2010,2010,1,January,Solar,423.832,3,11728.998,,0.0075597828797366,2010-01-01
Germany,JAN2010,January 2010,2010,1,January,Geothermal,2.123,4,20.0,,3.786740749561341e-05,2010-01-01
Greece,JAN2010,January 2010,2010,1,January,Hydro,816.693,1,7456.001,,0.163681578379336,2010-01-01
Greece,JAN2010,January 2010,2010,1,January,Wind,300.769,2,2714.001,,0.060280110944473,2010-01-01
Greece,JAN2010,January 2010,2010,1,January,Solar,13.167,3,158.004,,0.0026389296131113,2010-01-01
Hungary,JAN2010,January 2010,2010,1,January,Hydro,9.583,1,184.0,,0.0028503502186022,2010-01-01
Hungary,JAN2010,January 2010,2010,1,January,Wind,28.107,2,522.998,,0.0083600953348901,2010-01-01
Hungary,JAN2010,January 2010,2010,1,January,Solar,0.02,3,0.851,,5.948763891479079e-06,2010-01-01
IEA Total,JAN2010,January 2010,2010,1,January,Hydro,127518.519,1,1375803.121,,0.1351390612032607,2010-01-01
IEA Total,JAN2010,January 2010,2010,1,January,Wind,21659.612,2,265953.423,,0.022953996444288,2010-01-01
IEA Total,JAN2010,January 2010,2010,1,January,Solar,1129.14,3,30612.62,,0.0011966177208115,2010-01-01
IEA Total,JAN2010,January 2010,2010,1,January,Geothermal,2975.784,4,35313.812,,0.0031536176804538,2010-01-01
IEA Total,JAN2010,January 2010,2010,1,January,Other renewables,41.05,5,500.008,,4.350315943046557e-05,2010-01-01
Iceland,JAN2010,January 2010,2010,1,January,Hydro,1081.871,1,12509.999,,0.7394102056242884,2010-01-01
