country,date,total_renewable_production
Brazil,2015-01-01,35889.107
Brazil,2015-02-01,31250.862999999998
Brazil,2015-03-01,33476.327
Brazil,2015-04-01,30566.555999999997
Brazil,2015-05-01,30232.869000000002
Brazil,2015-06-01,27811.496
Brazil,2015-07-01,29442.182999999997
Brazil,2015-08-01,30309.79
Brazil,2015-09-01,30460.172
Brazil,2015-10-01,32828.363000000005
Brazil,2015-11-01,31190.618
Brazil,2015-12-01,33143.108
Brazil,2016-01-01,34510.087999999996
Brazil,2016-02-01,34439.335999999996
Brazil,2016-03-01,38467.435000000005
Brazil,2016-04-01,35683.667
Brazil,2016-05-01,33694.02
Brazil,2016-06-01,31885.975000000002
Brazil,2016-07-01,32943.662
Brazil,2016-08-01,32908.791
Brazil,2016-09-01,31487.930999999997
Brazil,2016-10-01,33132.756
Brazil,2016-11-01,32985.173
Brazil,2016-12-01,37156.085999999996
Brazil,2017-01-01,40243.014
Brazil,2017-02-01,37586.914000000004
Brazil,2017-03-01,39376.564
Brazil,2017-04-01,33683.108
Brazil,2017-05-01,33593.339
Brazil,2017-06-01,33035.162
Brazil,2017-07-01,30836.283
Brazil,2017-08-01,30406.294
Brazil,2017-09-01,30956.147
Brazil,2017-10-01,31880.746
Brazil,2017-11-01,31325.385
Brazil,2017-12-01,36059.011
Brazil,2018-01-01,39515.580040999994
Brazil,2018-02-01,36372.124978
Brazil,2018-03-01,41187.724593
Brazil,2018-04-01,37338.521631999996
Brazil,2018-05-01,35553.41463
Brazil,2018-06-01,32049.615021999998
Brazil,2018-07-01,32486.160490000002
Brazil,2018-08-01,32542.608982
Brazil,2018-09-01,31880.227718000002
Brazil,2018-10-01,36164.165263
Brazil,2018-11-01,38669.731099
Brazil,2018-12-01,41723.327609
Brazil,2019-01-01,45889.143263
Brazil,2019-02-01,38581.172074999995
Brazil,2019-03-01,41427.099531
Brazil,2019-04-01,39819.020037
Brazil,2019-05-01,40068.206604
Brazil,2019-06-01,36363.000619
Brazil,2019-07-01,34253.389092
Brazil,2019-08-01,33448.10622
Brazil,2019-09-01,34468.769327
Brazil,2019-10-01,36881.412477
Brazil,2019-11-01,35944.078351000004
Brazil,2019-12-01,38768.687825
Brazil,2020-01-01,40541.900157
Brazil,2020-02-01,40800.146628
Brazil,2020-03-01,42472.712326
Brazil,2020-04-01,35282.461459
Brazil,2020-05-01,35205.215877
Brazil,2020-06-01,35130.882465999995
Brazil,2020-07-01,38634.243894
Brazil,2020-08-01,39028.354508
Brazil,2020-09-01,40590.505133
Brazil,2020-10-01,38678.101535999995
Brazil,2020-11-01,34580.291204
Brazil,2020-12-01,38541.638502
Brazil,2021-01-01,38378.639729
Brazil,2021-02-01,36527.602305
Brazil,2021-03-01,42291.737583
Brazil,2021-04-01,37717.047403
Brazil,2021-05-01,36769.40688
Brazil,2021-06-01,32718.140651
Brazil,2021-07-01,31981.434658
Brazil,2021-08-01,31774.208885
Brazil,2021-09-01,32170.548892
Brazil,2021-10-01,32097.288493
Brazil,2021-11-01,34273.491258
Brazil,2021-12-01,39605.850536
Brazil,2022-01-01,45255.543737
Brazil,2022-02-01,43892.827654
Brazil,2022-03-01,49182.274654
Brazil,2022-04-01,45131.729539
Brazil,2022-05-01,43643.133204
Brazil,2022-06-01,41412.540892000005
Brazil,2022-07-01,43429.450811
Brazil,2022-08-01,43364.103692
Brazil,2022-09-01,42416.441164
Brazil,2022-10-01,43699.814104
Brazil,2022-11-01,42573.634759
Brazil,2022-12-01,46929.164247
Canada,2010-01-01,38520.219
Canada,2010-02-01,33898.721
Canada,2010-03-01,33094.676
Canada,2010-04-01,28996.313000000002
Canada,2010-05-01,27166.489999999998
Canada,2010-06-01,26154.772
Canada,2010-07-01,27149.536
Canada,2010-08-01,25190.252
Canada,2010-09-01,23143.637
Canada,2010-10-01,26252.751
Canada,2010-11-01,30462.262000000002
Canada,2010-12-01,36869.373
Canada,2011-01-01,38527.071
Canada,2011-02-01,34790.25
Canada,2011-03-01,35624.350999999995
Canada,2011-04-01,30934.536
Canada,2011-05-01,30088.092
Canada,2011-06-01,28155.315
Canada,2011-07-01,30139.890000000003
Canada,2011-08-01,29423.156
Canada,2011-09-01,26952.386000000002
Canada,2011-10-01,28836.409
Canada,2011-11-01,31749.053999999996
Canada,2011-12-01,37534.489
Canada,2012-01-01,39461.03999999999
Canada,2012-02-01,34701.787
Canada,2012-03-01,34009.283
Canada,2012-04-01,31000.149999999998
Canada,2012-05-01,30190.380999999998
Canada,2012-06-01,28754.586
Canada,2012-07-01,31095.365
Canada,2012-08-01,30772.262000000002
Canada,2012-09-01,27864.726000000002
Canada,2012-10-01,30890.941
Canada,2012-11-01,33436.594
Canada,2012-12-01,36494.884000000005
Canada,2013-01-01,41285.674
Canada,2013-02-01,36808.244
Canada,2013-03-01,37412.796
Canada,2013-04-01,32573.951
Canada,2013-05-01,31174.452
Canada,2013-06-01,30062.456
Canada,2013-07-01,30879.288
Canada,2013-08-01,30697.134
